Site Code,Country
abj01,dk
abq,us
adl,au
aer01,nl
aer01,nl
aer01,nl
aer01,nl
aer01,nl
aer01,nl
aer01,nl
aer01,nl
aer01,nl
aer01,nl
aer01,nl
aer01,nl
aer01,nl
aer01,nl
aer01,nl
aer01,nl
aer01,nl
aer01,nl
aer01,nl
aer01,nl
aer01,nl
aer01,nl
aer01,nl
aer01,nl
aer01,nl
aer01,nl
aer01,nl
aer01,nl
aer01,nl
aer01,nl
aer01,nl
aer01,nl
aer01,nl
aer01,nl
aer01,nl
aer01,nl
aer01/ams3,nl
ahu01,ae
ahu01,ae
ahu01,ae
ahu01,ae
akl02,nz
akl02,nz
akl02,nz
akl02,nz
alb,us
alb,us
alb,us
alb,us
alg02,dz
alln01,us
alln01,us
alln01,us
alln01,us
alln01,us
alln01,us
alln01,us
alln01,us
alln01,us
alln01,us
alln01,us
alln01,us
alln01,us
alln01,us
alln01,us
alln01,us
alln02,us
amh,us
amm02,jo
amm02,jo
amm02,jo
amm02,jo
ams3,nl
ams3,nl
ams3,nl
ams3,nl
ams3,nl
ams3,nl
ams3,nl
ams3,nl
ams3,nl
ams3,nl
ams3,nl
ams3,nl
ams3,nl
ams3,nl
ams3,nl
ams3,nl
ams5,nl
ams5,nl
ams5,nl
ams5,nl
ams5,nl
ams5,nl
ams5,nl
ams5,nl
ams5,nl
ams8,nl
amsidc,nl
amsidc,nl
amsidc,nl
amsidc,nl
amsidc,nl
amsidc,nl
amsidc,nl
amsidc,nl
amsidc,nl
amsidc,nl
amsidc,nl
amsidc,nl
amsidc,nl
amsidc,nl
amsidc,nl
amsidc,nl
anc1,us
ank02,tr
ank02,tr
ank02,tr
ank02,tr
ast,us
ast,us
ast,us
ast,us
astn01,kz
ath01,gr
ath01,gr
ath01,gr
ath01,gr
atl,us
atl,us
atl,us
atl,us
atl6,us
atl6,us
atl6,us
atl6,us
awn01,us
awn01,us
awn01,us
awn01,us
Bak02,az
bcr2,ro
bcr2,ro
bcr2,ro
bcr2,ro
bdlk09,uk
bdlk11,uk
beg02,sr
beg02,sr
beg02,sr
beg02,sr
bey01,lb
bey01,lb
bey01,lb
bey01,lb
bgl04,in
bgl04,in
bgl04,in
bgl04,in
bgl04,in
bgl04,in
bgl04,in
bgl04,in
bgl04,in
bgl06,in
bgl06,in
bgl06,in
bgl06,in
bgl09,in
bgl09,in
bgl09,in
bgl09,in
bgl10,in
bgl10,in
bgl10,in
bgl10,in
bgl11,in
bgl11,in
bgl11,in
bgl11,in
bgl11,in
bgl11,in
bgl11,in
bgl11,in
bgl11,in
bgl11,in
bgl11,in
bgl11,in
bgl11,in
bgl11,in
bgl11,in
bgl11,in
bgl12,in
bgl12,in
bgl12,in
bgl12,in
bgl12,in
bgl12,in
bgl12,in
bgl12,in
bgl12,in
bgl12,in
bgl12,in
bgl12,in
bgl12,in
bgl12,in
bgl12,in
bgl12,in
bgl21,in
bgl21,in
bgl21,in
bgl21,in
bgl25/26,in
bgl25/26,in
bgl25/26,in
bgl25/26,in
bgl41,in
bgl41,in
bgl41,in
bgl41,in
bgl43,in
bgl43,in
bgl43,in
bgl43,in
bgt1,co
bgt1,co
bgt1,co
bgt1,co
bhm01,us
bio01,es
bjn13,cn
bjn13,cn
bjn13,cn
bjn13,cn
bjn18,cn
bjn18,cn
bjn18,cn
bjn18,cn
bjn6,cn
bjn6,cn
bjn6,cn
bjn6,cn
bla,br
bla,br
bla,br
bla,br
bldr02,us
bldr02,us
bldr02,us
bldr02,us
blmi,us
blmi,us
blmi,us
blmi,us
blmm1,us
blmm1,us
blmm1,us
blmm1,us
bln2,de
bln2,de
bln2,de
bln2,de
blv,us
blv,us
blv,us
blv,us
bng02,th
bng02,th
bng02,th
bng02,th
bnt01,us
bnt01,us
bnt01,us
bnt01,us
bonn01,de
bos02,us
bos02,us
bos02,us
bos02,us
bos1,us
brb03,au
brb03,au
brb03,au
brb03,au
brc1,es
brc1,es
brc1,es
brc1,es
brn,ch
brnt1,za
brnt1,za
brnt1,za
brnt1,za
brnt1,za
brnt1,za
brnt1,za
brnt1,za
brnt1,za
btr1,us
bts02,sk
bts02,sk
bts02,sk
bts02,sk
bua2,ar
bua2,ar
bua2,ar
bua2,ar
bud01,hu
bud01,hu
bud01,hu
bud01,hu
bvw01,us
bxb22,us
bxb22,us
bxb22,us
bxb22,us
bxb23,us
bxb23,us
bxb23,us
bxb23,us
cai02,eg
cai02,eg
cai02,eg
cai02,eg
cam02,us
cas02,ma
cas02,ma
cas02,ma
cas02,ma
cbr01,au
cbr01,au
cbr01,au
cbr01,au
cdrr,us
cgq03,cn
